"Home","Away","Time","Sec_ALL_nt_h","Sec_ALL_nt_v","Sec_ALL_nt_avg","Plays_ALL_nt_h","Plays_ALL_nt_v","Plays_ALL_nt_avg","Sec_ALL_h","Sec_ALL_v","Sec_ALL_avg","Plays_ALL_h","Plays_ALL_v","PLays_ALL_avg"
"CHI","WAS","THU 8:15 AM",27.1,26,26.6,55,65,60,24.7,23.9,24.3,62,76,69
"ATL","SF","SUN 1:00 AM",26.2,28.4,27.3,67,66,66.5,25.1,25.1,25.1,68,71,69.5
"CLE","NE","SUN 1:00 AM",27.5,27.7,27.6,73,62,67.5,26.2,26.3,26.2,77,67,72
"GB","NYJ","SUN 1:00 AM",29.3,25.5,27.4,68,67,67.5,27.3,22.6,25,68,76,72
"IND","JAC","SUN 1:00 AM",26.3,24.6,25.5,69,72,70.5,24.1,24.2,24.1,74,74,74
"MIA","MIN","SUN 1:00 AM",25.8,25.5,25.6,56,66,61,24.6,23.2,23.9,68,75,71.5
"NO","CIN","SUN 1:00 AM",27,25.5,26.2,62,70,66,24.1,25.1,24.6,73,78,75.5
"NYG","BAL","SUN 1:00 AM",25.7,28.4,27,66,70,68,24.6,27,25.8,73,66,69.5
"PIT","TB","SUN 1:00 AM",25.8,27.8,26.8,60,68,64,23.2,22.8,23,69,71,70
"SEA","ARI","SUN 4:00 AM",25.8,26.6,26.2,66,59,62.5,23.8,23.1,23.5,66,80,73
"LAR","CAR","SUN 4:05 AM",30,24.4,27.2,52,51,51.5,25.5,24,24.8,69,60,64.5
"KC","BUF","SUN 4:25 AM",26.5,25.3,25.9,65,80,72.5,25.1,23.7,24.4,73,74,73.5
"PHI","DAL","SUN 8:20 AM",25.9,26.8,26.4,86,70,78,24.3,24.6,24.5,82,67,74.5
"LAC","DEN","MON 8:15 AM",25.7,27.1,26.4,72,67,69.5,23.4,25.3,24.4,74,71,72.5
